example,label
@P4SS1NGTHR0UGH Ayy Steve chpli değil ya jsnsoqnslqmskqm iyi parti olur belki,provocative
TEK ALIMDA HAKETTİĞİMİZ SAYIYI İSTİYORUZ #SbAtamayıİkiyeBölme,political
@BirGun_Gazetesi Bu sizlerin son çırpınışlarınız sizlerin siyasi intiharı gerçekleşti....aynen devam edin etrafınızdaki danışmanlar konumlarını korumak için sizi bu yanlışlara itiyor sizde sanırsınız ki tamam çok akpli tanıyorum samimi sırf akp seçim kaybetsin diye muhalefetten çok çalışırlar....,political
"@TerimciTayfa23 Beyinsiz herkes Kerem'in tarafında mal, aptal çocuk. Gerizekalı. Bu çocuk nasıl bu kadar mal olabildi. Baban hiç mi vitaminli bişi yemedi amk seni yaparken ya. Mal",neither
@CimbomVid Amk senin takip etmemin sebebi altyapıyı takip ediyordun ve video paylaşıyordun o yüzdendi. Böyle beyinsiz birini takip eden kafamı sikeyim,neither
翠ジンソーダ飲んでる  https://t.co/XL8YkjBLZ3,unusable
@marsyolcuu33 @BesliZekiye İlişkileri sıkılaştırmaya çalışan bademler.,neither
Cutie nyong mag - ama  Maine As Stacy #DADDYSGURLPretend #MaineMendoza @mainedcm  https://t.co/syPqwxPCQf,unusable
Ve siz Allah dendiğinde cinlenmiş gibi olanlar gerici sizsiniz köle sizsiniz yobaz  sizsiniz ilkel ve köhne kalan sizsiniz şeytanın yaldızla süslediği değerlerinizin yaldızı gittiğinde  çağa gerçekten uygun olanın müminin yaşantısı olduğunu siz de bileceksiniz ancak geç olacak.,provocative
lana akpli değil mhpli bu arada  https://t.co/GTLRdctMhF,provocative
@clairdelunexq_l Mehmet ceyhan hocadan aldığı ders yetmemiş 2. Ders 😂,neither
Kahramanmaraş  Yok şakadır dedim hakkat söylemiş  Günlerdir uçak lar nerde diyen help turkey deyip işgalcileri ülkemize çağıran  chpli nevşin şimdide uçaklar arazi yapısına uygun değil  demiş biz  bunların derdi yangın afet filan değil derdi devleti aciz göstermek demedikmi,political
@minaadeniz cok dogru o yzdn 5li yapin😋,neither
"@CemilCan5834 Bunların ki işgal değil,isim  https://t.co/zLC2ERNX2u kadar komünist,dinsiz ateist varsa bunların dilinde özgürlük hürriyet sakız olmuş.",provocative
@Ferdi24858468 @partidvmetmeli Yaşasın kemalist diktatörlük kahrolsun demokrasi,provocative
beyinsiz uçkursuz...,neither
"@crukiye @airdrop1bounty @UgDrugur Ooo baktı aşı olmadı şimdi de din dersine başladı. Hadi kızım hadi. Dinsiz de değiliz, imansız da değiliz. Aşı öldürmez, ecel öldürür git aşını ol.",political
 https://t.co/MohocPPALc,unusable
@eskigalatasaray Yeni stoper takviyesi ile Luyindama bugün oldukça iyi olmasına rağmen  Göğüsle 5 metre sıçratarak top kontrollerini ancak amatör ya da beyinsiz yapar,neither
@Ezlsmruya Yaa inşallah öğretmiştir bana sanki yarın yine dese yine ben kesecekmişim gibi geliyor ama 😄,neither
@qardeleeen @Yagmurhanci2 @esis_5 Yobaz işte akılları fikirleri sex bir de anti kemalist miş karanlığında boğul,unusable
@ntv Konu elektrik su pazar alışveriş lerine gelince yapılan zamlara sesiniz çıkmıyor ama eskiden kedi köpek yemeğini arardı veriyorsunuz mamaları dana gibi oluyorlar vede saldırganlaşıorlar parklara giremez olduk pisliklerinden bunlara ayrı yerler olmalı Sürü halinde dolaşmamalılar,provocative
@callmewitchh Beyni olan ve azıcık sorgulayan birinin akpli olacağını düşünmüyorum ya,provocative
"@LopezPamelop @oscar_contardo Para suicidarse, debió ser algo grave. Mencionaron el suicidio de Hitler. Y la conversación de despedida con Martín, donde le dice que no puede más con esta situación y que quiere que vuelva con su esposa porque sabe que la ama, me hace pensar que, quizas le era infiel con él",unusable
@ozguradamTurk @Canan_Kaftanci ama onun işi algı...,political
"Her ziyaret ettiği şehirde 'FETÖ' ve 'HDP ile ittifak' tepkileriyle karşılaşan İP Genel Başkanı Meral Akşener, Sivas'ta da protesto edilmişti.  İP'li Yavuz Ağıralioğlu, Akşener'e Sivas'ta eleştiriler yönelten bir vatandaşa ""yobaz"" diyerek hakaret etti.  https://t.co/BpiNg5ELUK",political
"i've had enough, but you're too hard to quit",unusable
@mister_nu @Levent Siyaseti girdikleri için tribünden siktir yemişlerdi geldiler yine aynı. Beyinsiz herifler.,provocative
#GRSvGS Bir Besiktaslı olarak Marcao gibi karaktersiz bir serefsizin evladimiz olan Kerem e olan beyinsiz tavrı Galatasaray ve Turkiye futbolu adina bir rezillik . Aşagılamaktır ligi ve Evladimizi.. Kerem Aktürkoğlu bundan sonra Türkiye Futbolunun kırmızı cizgisidir !!! #marcaout,neither
Kimseye gülmedim ama başıma geldi😂😂😂  https://t.co/Y2xjqqGR68,neither
@_nevermind_a Max akpli zekası,provocative
@gokhanozbek Numaradan gidip hükümeti aklamaya çalışan adem metan ve Ersin çelik var. Asıl baraja gidip çeken Chpli vekil sadece.,political
